ID,WAGE,Annual Income,OCCUPATION,SECTOR,UNION,EDUCATION,EXPERIENCE,AGE,SEX,MARR,RACE,SOUTH,
,Wage (dollars per hour).,#VALUE!,"Occupational category (1=Management,   2=Sales, 3=Clerical , 4=Service, 5=Professional, 6=Other)
","Sector (0=Other, 1=Manufacturing, 2=Construction)","Indicator variable for union membership (1=Union member, 0=Not union member)",Number of years of education,Number of years of work experience,Age (years),"Indicator variable for sex (1=Female, 0=Male).","Marital Status (0=Unmarried,  1=Married)","Race (1=Other, 2=Hispanic, 3=White).","Indicator variable for Southern Region (1=Person lives in South, 0=Person lives elsewhere).
",
1,5.10,"10,608.00",6,1,0,8,21,35,1,1,2,0,
2,4.95,"10,296.00",6,1,0,9,42,57,1,1,3,0,
3,6.67,"13,873.60",6,1,0,12,1,19,0,0,3,0,
4,4.00,"8,320.00",6,0,0,12,4,22,0,0,3,0,
5,7.50,"15,600.00",6,0,0,12,17,35,0,1,3,0,
6,13.07,"27,185.60",6,0,1,13,9,28,0,0,3,0,
7,4.45,"9,256.00",6,0,0,10,27,43,0,0,3,1,
8,19.47,"40,497.60",6,0,0,12,9,27,0,0,3,0,
9,13.28,"27,622.40",6,1,0,16,11,33,0,1,3,0,
10,8.75,"18,200.00",6,0,0,12,9,27,0,0,3,0,
11,11.35,"23,608.00",6,0,1,12,17,35,0,1,3,0,
12,11.50,"23,920.00",6,1,1,12,19,37,0,0,3,0,
13,6.50,"13,520.00",6,0,0,8,27,41,0,1,3,1,
14,6.25,"13,000.00",6,0,1,9,30,45,0,0,3,1,
15,19.98,"41,558.40",6,0,0,9,29,44,0,1,3,1,
16,7.30,"15,184.00",6,2,0,12,37,55,0,1,3,0,
17,8.00,"16,640.00",6,0,0,7,44,57,0,1,3,1,
18,22.20,"46,176.00",6,1,1,12,26,44,0,1,3,0,
19,3.65,"7,592.00",6,0,0,11,16,33,0,0,3,0,
20,20.55,"42,744.00",6,0,0,12,33,51,0,1,3,0,
21,5.71,"11,876.80",6,1,1,12,16,34,1,1,3,0,
22,7.00,"14,560.00",6,1,1,7,42,55,0,1,1,0,
