Code,Name,Industry and Commercial 2005,Industry and Commercial 2006,Industry and Commercial 2007,Industry and Commercial 2008,Industry and Commercial 2009,Industry and Commercial 2010,Industry and Commercial 2011,Industry and Commercial 2012,Industry and Commercial 2013,Industry and Commercial 2014,Domestic 2005,Domestic 2006,Domestic 2007,Domestic 2008,Domestic 2009,Domestic 2010,Domestic 2011,Domestic 2012,Domestic 2013,Domestic 2014,Transport 2005,Transport 2006,Transport 2007,Transport 2008,Transport 2009,Transport 2010,Transport 2011,Transport 2012,Transport 2013,Transport 2014,N. LULUCF Net Emissions 2005,N. LULUCF Net Emissions 2006,N. LULUCF Net Emissions 2007,N. LULUCF Net Emissions 2008,N. LULUCF Net Emissions 2009,N. LULUCF Net Emissions 2010,N. LULUCF Net Emissions 2011,N. LULUCF Net Emissions 2012,N. LULUCF Net Emissions 2013,N. LULUCF Net Emissions 2014,Grand Total 2005,Grand Total 2006,Grand Total 2007,Grand Total 2008,Grand Total 2009,Grand Total 2010,Grand Total 2011,Grand Total 2012,Grand Total 2013,Grand Total 2014,"Population ('000s, mid-year estimate) 2005","Population ('000s, mid-year estimate) 2006","Population ('000s, mid-year estimate) 2007","Population ('000s, mid-year estimate) 2008","Population ('000s, mid-year estimate) 2009","Population ('000s, mid-year estimate) 2010","Population ('000s, mid-year estimate) 2011","Population ('000s, mid-year estimate) 2012","Population ('000s, mid-year estimate) 2013","Population ('000s, mid-year estimate) 2014",Per Capita Emissions (t) 2005,Per Capita Emissions (t) 2006,Per Capita Emissions (t) 2007,Per Capita Emissions (t) 2008,Per Capita Emissions (t) 2009,Per Capita Emissions (t) 2010,Per Capita Emissions (t) 2011,Per Capita Emissions (t) 2012,Per Capita Emissions (t) 2013,Per Capita Emissions (t) 2014,
E09000001,City of London,"1,546.4","1,679.7","1,580.5","1,604.0","1,402.0","1,554.7","1,317.2","1,461.0","1,344.2",964.6,20.3,20.4,20.5,21.4,19.6,21.1,18.8,20.5,19.9,16.5,65.3,65.1,64.4,58.3,54.7,54.5,52.6,51.3,50.5,55.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,"1,632.1","1,765.3","1,665.5","1,683.7","1,476.4","1,630.4","1,388.6","1,532.9","1,414.6","1,036.1",7.1,7.3,7.6,7.4,7.5,7.3,7.4,7.6,7.6,8.1,228.9,243.4,218.9,226.6,197.6,222.2,187.3,201.6,185.0,128.4,
E09000002,Barking and Dagenham,396.2,398.0,400.9,399.1,344.5,380.0,330.9,355.1,333.4,229.9,345.9,344.6,334.4,332.5,297.2,321.4,282.2,300.8,290.8,242.9,188.3,193.2,189.2,171.1,175.5,170.1,170.3,163.7,165.0,170.5,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.4,931.2,936.4,925.1,903.4,817.9,872.1,783.9,820.1,789.7,643.8,166.3,167.2,169.0,172.5,177.6,182.8,187.0,190.6,194.4,198.3,5.6,5.6,5.5,5.2,4.6,4.8,4.2,4.3,4.1,3.2,
E09000003,Barnet,460.5,472.0,442.4,453.1,403.1,426.4,382.9,402.6,384.3,371.9,868.1,870.7,847.9,856.7,775.0,837.4,731.0,791.7,776.8,645.8,432.5,431.5,425.4,420.0,402.6,408.1,382.5,391.6,390.9,395.9,2.9,2.7,2.5,2.4,2.2,2.1,1.9,1.8,1.7,1.5,"1,764.0","1,776.9","1,718.2","1,732.1","1,583.0","1,673.9","1,498.3","1,587.8","1,553.8","1,415.1",327.5,330.8,334.8,339.2,345.8,351.4,357.5,364.0,369.1,374.9,5.4,5.4,5.1,5.1,4.6,4.8,4.2,4.4,4.2,3.8,
E09000004,Bexley,485.1,481.8,451.3,450.5,397.3,423.8,384.5,409.1,394.3,378.4,531.0,526.8,509.7,513.7,462.9,498.1,432.3,468.7,455.7,379.4,266.8,258.3,254.9,242.0,235.7,228.9,219.9,219.6,213.5,215.8,2.1,2.0,1.8,1.7,1.6,1.5,1.4,1.2,1.1,1.0,"1,285.0","1,268.8","1,217.8","1,207.9","1,097.5","1,152.3","1,038.1","1,098.6","1,064.6",974.6,222.4,223.3,224.6,226.7,228.1,230.7,232.8,234.3,236.7,239.9,5.8,5.7,5.4,5.3,4.8,5.0,4.5,4.7,4.5,4.1,
E09000005,Brent,543.0,521.4,545.3,602.3,523.9,465.0,411.7,571.3,546.4,500.9,616.5,614.2,601.7,606.0,547.5,587.3,508.9,549.7,539.9,450.1,267.4,260.5,253.2,231.3,223.3,235.6,225.1,225.0,213.7,223.5,1.2,1.1,1.0,0.9,0.9,0.8,0.7,0.7,0.6,0.6,"1,428.0","1,397.3","1,401.2","1,440.6","1,295.5","1,288.7","1,146.5","1,346.6","1,300.6","1,175.1",270.9,276.5,283.3,290.9,298.1,304.8,312.2,314.7,317.3,320.8,5.3,5.1,4.9,5.0,4.3,4.2,3.7,4.3,4.1,3.7,
E09000006,Bromley,378.7,425.0,375.6,365.2,330.6,339.5,307.2,333.8,316.5,274.2,812.4,809.6,786.0,796.6,719.8,774.8,674.8,733.4,719.9,597.1,373.3,365.7,359.1,341.7,329.6,322.5,314.9,309.6,305.0,307.3,3.7,3.3,3.0,2.7,2.6,2.3,2.0,1.7,1.6,1.1,"1,568.1","1,603.6","1,523.7","1,506.3","1,382.6","1,439.1","1,299.0","1,378.5","1,343.0","1,179.8",299.4,301.0,302.6,305.0,306.9,308.6,310.6,314.0,317.9,321.3,5.2,5.3,5.0,4.9,4.5,4.7,4.2,4.4,4.2,3.7,
E09000007,Camden,"1,079.3","1,200.4","1,159.1","1,133.3","1,004.5","1,064.3",970.5,"1,058.0","1,011.0",824.5,429.0,427.3,418.4,424.9,389.4,416.4,365.5,393.4,384.3,319.4,174.5,173.7,171.7,163.0,160.4,153.7,147.8,142.4,139.0,143.9,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.4,"1,683.5","1,802.0","1,749.8","1,721.8","1,554.9","1,634.8","1,484.3","1,594.3","1,534.8","1,288.3",211.1,211.0,211.5,210.3,212.9,214.7,220.1,225.0,229.7,234.8,8.0,8.5,8.3,8.2,7.3,7.6,6.7,7.1,6.7,5.5,
E09000008,Croydon,573.2,553.8,522.6,526.0,464.2,485.0,434.4,473.8,436.1,334.0,830.2,825.7,804.9,817.2,731.6,786.3,691.2,748.6,734.0,611.2,359.3,350.9,349.9,324.1,311.2,303.7,297.0,293.1,290.0,290.8,2.9,2.7,2.5,2.3,2.2,2.1,1.9,1.7,1.6,1.4,"1,765.6","1,733.1","1,679.9","1,669.6","1,509.2","1,577.0","1,424.5","1,517.2","1,461.8","1,237.3",339.1,340.4,344.0,349.3,352.8,358.0,364.8,368.9,372.8,376.0,5.2,5.1,4.9,4.8,4.3,4.4,3.9,4.1,3.9,3.3,
E09000009,Ealing,614.4,660.4,681.9,685.6,612.7,629.3,599.3,668.5,655.2,528.7,685.4,680.1,664.1,672.1,605.9,651.9,565.9,611.7,600.8,498.4,375.6,368.4,351.4,337.7,326.4,322.9,320.0,309.9,319.9,314.0,1.4,1.3,1.2,1.1,1.1,1.0,0.9,0.8,0.7,0.6,"1,676.8","1,710.2","1,698.6","1,696.5","1,546.0","1,605.0","1,486.1","1,590.8","1,576.6","1,341.6",312.8,315.3,318.7,324.0,330.0,334.1,339.3,340.7,342.5,342.1,5.4,5.4,5.3,5.2,4.7,4.8,4.4,4.7,4.6,3.9,
E09000010,Enfield,474.8,618.0,630.5,487.8,413.9,436.3,383.4,417.2,420.8,367.8,677.3,673.4,658.1,658.8,591.4,634.8,552.0,597.1,582.1,483.3,432.2,432.5,429.1,409.6,400.6,399.5,375.3,396.3,386.3,392.6,2.6,2.4,2.3,2.1,2.1,1.9,1.8,1.6,1.5,1.4,"1,586.9","1,726.4","1,719.9","1,558.4","1,408.0","1,472.5","1,312.5","1,412.2","1,390.8","1,245.0",284.8,287.4,291.5,297.4,302.0,307.6,313.9,317.3,320.5,324.6,5.6,6.0,5.9,5.2,4.7,4.8,4.2,4.5,4.3,3.8,
