index,variable,score,model
train,Accuracy,1.0,Original Data
test,Accuracy,0.9527201950150229,Original Data
train,Precission,1.0,Original Data
test,Precission,0.7947325102880658,Original Data
train,Recall,1.0,Original Data
test,Recall,0.793687325332895,Original Data
train,F1_score,1.0,Original Data
test,F1_score,0.7942095739430827,Original Data
train,Accuracy,1.0,Feature_selection
test,Accuracy,0.9518320452011565,Feature_selection
train,Precission,1.0,Feature_selection
test,Precission,0.7901477832512315,Feature_selection
train,Recall,1.0,Feature_selection
test,Recall,0.7910570442216012,Feature_selection
train,F1_score,1.0,Feature_selection
test,F1_score,0.79060215230428,Feature_selection
train,Accuracy,1.0,Feature_eng
test,Accuracy,0.9788355789036074,Feature_eng
train,Precission,1.0,Feature_eng
test,Precission,0.9086118886876338,Feature_eng
train,Recall,1.0,Feature_eng
test,Recall,0.9071181982574388,Feature_eng
train,F1_score,1.0,Feature_eng
test,F1_score,0.9078644290885161,Feature_eng
train,Accuracy,0.9560256390032549,Feature_eng+Oversampling
test,Accuracy,0.9536142456042959,Feature_eng+Oversampling
train,Precission,0.9405113826836924,Feature_eng+Oversampling
test,Precission,0.9382219471947195,Feature_eng+Oversampling
train,Recall,0.9736355032074876,Feature_eng+Oversampling
test,Recall,0.971175403010569,Feature_eng+Oversampling
train,F1_score,0.9567868381482877,Feature_eng+Oversampling
test,F1_score,0.9544143104443162,Feature_eng+Oversampling
