,Importance Value
Ps30r_max,0.3826273625102943
time_in_cyclesr_min,0.13483955063694794
NRfr_median,0.07211446415271916
BPRr_max,0.042342532845141195
NRfr_max,0.037690262814863484
phir_max,0.0335301152337694
T50r_max,0.024931681116702232
NRcr_max,0.02409801952090389
Ps30r_min,0.022398963144371918
T50r_min,0.01744903210611212
BPRr_min,0.015289034601375654
Ps30r_median,0.014502060217814689
P30r_max,0.013735502598097835
Ncr_max,0.011040388188223763
P30r_min,0.010127011987675665
time_in_cyclesr_max,0.00805098765965903
Ncr_min,0.007968055626300199
BPRr_median,0.0077260795926884385
time_in_cyclesr_mean,0.006378958992732964
T50r_median,0.0063399080327938
NRcr_median,0.006227815148010541
Nfr_max,0.005757601696077224
phir_min,0.00542653323985291
NRcr_min,0.00523148020661045
Ncr_std,0.005209791489111689
NRfr_std,0.0052089694518089
Nfr_min,0.005075819090911592
time_in_cyclesr_median,0.0050245543008281025
P30r_std,0.004887036720464951
Nfr_median,0.004768139853739468
NRcr_std,0.004609073674924554
P30r_median,0.0039483612596898695
BPRr_mean,0.0037782278906577133
NRfr_min,0.003661283524958388
Ps30r_std,0.003122750509468533
phir_median,0.0030746990420502714
NRfr_mean,0.002836739185258564
T50r_std,0.0027947146644697178
NRcr_mean,0.0027679051061636263
Nfr_std,0.0027556355045861977
T50r_mean,0.002727612383950091
BPRr_std,0.002635890129079769
Ncr_median,0.002530041268599053
Nfr_mean,0.0024876003166208424
P30r_mean,0.0022788457234958243
phir_mean,0.0019259591516171046
phir_std,0.0019233990167546752
Ncr_mean,0.0017960576203091031
Ps30r_mean,0.001608832801428144
o_condition,0.0007386584493144688
time_in_cyclesr_std,0.0
