alpha,model,feature,weight
0.0001,LR,time_in_cycles,-30.857986913967686
0.001,LR,time_in_cycles,-30.857986913967686
0.01,LR,time_in_cycles,-30.857986913967686
0.1,LR,time_in_cycles,-30.857986913967686
0.5,LR,time_in_cycles,-30.857986913967686
1.0,LR,time_in_cycles,-30.857986913967686
0.0001,L1,time_in_cycles,-29.078757449484133
0.001,L1,time_in_cycles,-29.088664145970387
0.01,L1,time_in_cycles,-29.23241506030914
0.1,L1,time_in_cycles,-31.79566800508132
0.5,L1,time_in_cycles,-42.053057496781705
1.0,L1,time_in_cycles,-45.60799270662313
0.0001,L2,time_in_cycles,-30.85399414879436
0.001,L2,time_in_cycles,-30.825947229968193
0.01,L2,time_in_cycles,-30.563929477464935
0.1,L2,time_in_cycles,-29.17031055386588
0.5,L2,time_in_cycles,-27.99196061947599
1.0,L2,time_in_cycles,-27.7719404587088
0.0001,LR,Altitud,-1554.811091142403
0.001,LR,Altitud,-1554.811091142403
0.01,LR,Altitud,-1554.811091142403
0.1,LR,Altitud,-1554.811091142403
0.5,LR,Altitud,-1554.811091142403
1.0,LR,Altitud,-1554.811091142403
0.0001,L1,Altitud,-29.120110418258967
0.001,L1,Altitud,-27.270612453463748
0.01,L1,Altitud,-8.771480143843144
0.1,L1,Altitud,0.0
0.5,L1,Altitud,0.0
1.0,L1,Altitud,-0.0
0.0001,L2,Altitud,-791.9820891254822
0.001,L2,Altitud,-727.2175213826689
0.01,L2,Altitud,-479.0240780293747
0.1,L2,Altitud,-202.54908196889548
0.5,L2,Altitud,-64.85049636542945
1.0,L2,Altitud,-34.094179395380294
0.0001,LR,Mach Number,-164.2417562743414
0.001,LR,Mach Number,-164.2417562743414
0.01,LR,Mach Number,-164.2417562743414
0.1,LR,Mach Number,-164.2417562743414
0.5,LR,Mach Number,-164.2417562743414
1.0,LR,Mach Number,-164.2417562743414
0.0001,L1,Mach Number,-206.92473447601128
0.001,L1,Mach Number,-206.34127610154326
0.01,L1,Mach Number,-200.7648185053958
0.1,L1,Mach Number,-124.55216568637493
0.5,L1,Mach Number,-0.0
1.0,L1,Mach Number,-0.0
0.0001,L2,Mach Number,-120.70532873218565
0.001,L2,Mach Number,-130.443143968537
0.01,L2,Mach Number,-168.65883818251575
0.1,L2,Mach Number,-205.453080690657
0.5,L2,Mach Number,-223.8075524871561
1.0,L2,Mach Number,-227.12243564273112
0.0001,LR,TRA,3947829158126.777
0.001,LR,TRA,3947829158126.777
0.01,LR,TRA,3947829158126.777
0.1,LR,TRA,3947829158126.777
0.5,LR,TRA,3947829158126.777
1.0,LR,TRA,3947829158126.777
0.0001,L1,TRA,-0.6229689717782632
0.001,L1,TRA,-1.918468787136226
0.01,L1,TRA,-4.989089150037798
0.1,L1,TRA,-5.966684741248262
0.5,L1,TRA,0.0
1.0,L1,TRA,0.0
0.0001,L2,TRA,403.3409417951994
0.001,L2,TRA,484.71905890618905
0.01,L2,TRA,508.57943094914685
0.1,L2,TRA,404.07103953435336
0.5,L2,TRA,185.2832048252818
1.0,L2,TRA,111.00195656507127
0.0001,LR,T2,-30999.739067218037
0.001,LR,T2,-30999.739067218037
0.01,LR,T2,-30999.739067218037
0.1,LR,T2,-30999.739067218037
0.5,LR,T2,-30999.739067218037
1.0,LR,T2,-30999.739067218037
0.0001,L1,T2,262.19298371244236
0.001,L1,T2,261.01803074906053
0.01,L1,T2,252.0298603258291
0.1,L1,T2,222.7749229763548
0.5,L1,T2,100.82399027599693
1.0,L1,T2,33.506524898826704
0.0001,L2,T2,960.1274607556658
0.001,L2,T2,997.851138343297
0.01,L2,T2,773.6170173131746
0.1,L2,T2,626.6406261729138
0.5,L2,T2,562.2695856098296
1.0,L2,T2,524.0613009385938
0.0001,LR,T24,-338.8437689750771
0.001,LR,T24,-338.8437689750771
0.01,LR,T24,-338.8437689750771
0.1,LR,T24,-338.8437689750771
0.5,LR,T24,-338.8437689750771
1.0,LR,T24,-338.8437689750771
0.0001,L1,T24,-109.83248858983188
0.001,L1,T24,-108.01194505666449
0.01,L1,T24,-92.60288817665383
0.1,L1,T24,-0.0
0.5,L1,T24,0.0
1.0,L1,T24,0.0
0.0001,L2,T24,-338.77124407074325
0.001,L2,T24,-339.0290425254832
0.01,L2,T24,-341.27959275600347
0.1,L2,T24,-349.13499543708343
0.5,L2,T24,-323.8218951948093
1.0,L2,T24,-282.656780611312
0.0001,LR,T30,-97.03575602800737
0.001,LR,T30,-97.03575602800737
0.01,LR,T30,-97.03575602800737
0.1,LR,T30,-97.03575602800737
0.5,LR,T30,-97.03575602800737
1.0,LR,T30,-97.03575602800737
0.0001,L1,T30,-160.37552936914696
0.001,L1,T30,-160.34586179359417
0.01,L1,T30,-161.54091411779356
0.1,L1,T30,-171.60456305665528
0.5,L1,T30,-0.0
1.0,L1,T30,-0.0
0.0001,L2,T30,-97.0613838617373
0.001,L2,T30,-97.15410309017248
0.01,L2,T30,-97.9372374810048
0.1,L2,T30,-102.27492298274096
0.5,L2,T30,-107.43609661315693
1.0,L2,T30,-109.51568581309485
0.0001,LR,T50,-148.4133200682753
0.001,LR,T50,-148.4133200682753
0.01,LR,T50,-148.4133200682753
0.1,LR,T50,-148.4133200682753
0.5,LR,T50,-148.4133200682753
1.0,LR,T50,-148.4133200682753
0.0001,L1,T50,-159.8369979754842
0.001,L1,T50,-159.77354790390567
0.01,L1,T50,-159.76441738574167
0.1,L1,T50,-171.18279625172414
0.5,L1,T50,-51.8186835704856
1.0,L1,T50,-0.0
0.0001,L2,T50,-148.45751216009776
0.001,L2,T50,-148.537349369239
0.01,L2,T50,-149.24386717988247
0.1,L2,T50,-153.42459282937952
0.5,L2,T50,-159.34931821564524
1.0,L2,T50,-162.53909269009247
0.0001,LR,P2,5846.830289682819
